[16/5/2022 22:28:59] /t
[16/5/2022 22:29:51] /b boa noite meus amado
[16/5/2022 23:21:51] /goto thor~
[16/5/2022 23:22:53] /t
[16/5/2022 23:24:33] /goto caru~
[16/5/2022 23:25:49] /goto caru~
[16/5/2022 23:26:33] /goto caru~
[16/5/2022 23:27:16] /goto caru~
[16/5/2022 23:27:17] /goto caru~
[16/5/2022 23:27:18] /goto caru~
[17/5/2022 0:18:3] /goto caru~
[17/5/2022 0:18:5] /goto caru~
[17/5/2022 0:18:37] /goto jaja~
[17/5/2022 0:21:39] /goto gor~
[17/5/2022 0:39:7] /c twire~
[17/5/2022 0:39:19] /c twirer~
[17/5/2022 0:40:3] /c Twizervx
[17/5/2022 0:40:22] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:35] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:36] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:37] /addskill Twizervx, level 1
[17/5/2022 0:40:38] /addskill Twizervx, level 1
[17/5/2022 0:40:38] /addskill Twizervx, level 1
[17/5/2022 0:40:38] /addskill Twizervx, level 1
[17/5/2022 0:42:27] /i 6300
[17/5/2022 0:43:15] /addskill Twizervx, magic 80
[17/5/2022 0:43:24] /addskill Twizervx, magic 1
[17/5/2022 0:43:25] /addskill Twizervx, magic 1
[17/5/2022 0:43:25] /addskill Twizervx, magic 1
[17/5/2022 0:43:25] /addskill Twizervx, magic 1
[17/5/2022 0:43:26] /addskill Twizervx, magic 1
[17/5/2022 0:43:26] /addskill Twizervx, magic 1
[17/5/2022 0:43:27] /addskill Twizervx, magic 1
[17/5/2022 0:43:27] /addskill Twizervx, magic 1
[17/5/2022 0:43:27] /addskill Twizervx, magic 1
[17/5/2022 0:43:28] /addskill Twizervx, magic 1
[17/5/2022 0:43:28] /addskill Twizervx, magic 1
[17/5/2022 0:43:29] /addskill Twizervx, magic 1
[17/5/2022 0:43:29] /addskill Twizervx, magic 1
[17/5/2022 0:43:29] /addskill Twizervx, magic 1
[17/5/2022 0:43:30] /addskill Twizervx, magic 1
[17/5/2022 0:43:30] /addskill Twizervx, magic 1
[17/5/2022 0:43:31] /addskill Twizervx, magic 1
[17/5/2022 0:43:31] /addskill Twizervx, magic 1
[17/5/2022 0:43:31] /addskill Twizervx, magic 1
[17/5/2022 0:43:32] /addskill Twizervx, magic 1
[17/5/2022 0:43:32] /addskill Twizervx, magic 1
[17/5/2022 0:43:33] /addskill Twizervx, magic 1
[17/5/2022 0:43:33] /addskill Twizervx, magic 1
[17/5/2022 0:43:34] /addskill Twizervx, magic 1
[17/5/2022 0:43:34] /addskill Twizervx, magic 1
[17/5/2022 0:43:34] /addskill Twizervx, magic 1
[17/5/2022 0:43:35] /addskill Twizervx, magic 1
[17/5/2022 0:43:35] /addskill Twizervx, magic 1
[17/5/2022 0:43:36] /addskill Twizervx, magic 1
[17/5/2022 0:43:36] /addskill Twizervx, magic 1
[17/5/2022 0:43:36] /addskill Twizervx, magic 1
[17/5/2022 0:43:37] /addskill Twizervx, magic 1
[17/5/2022 0:43:37] /addskill Twizervx, magic 1
[17/5/2022 0:43:38] /addskill Twizervx, magic 1
[17/5/2022 0:43:38] /addskill Twizervx, magic 1
[17/5/2022 0:43:38] /addskill Twizervx, magic 1
[17/5/2022 0:43:39] /addskill Twizervx, magic 1
[17/5/2022 0:43:39] /addskill Twizervx, magic 1
[17/5/2022 0:43:40] /addskill Twizervx, magic 1
[17/5/2022 0:43:48] /addskill Twizervx, magic 1
[17/5/2022 0:43:48] /addskill Twizervx, magic 1
[17/5/2022 0:43:49] /addskill Twizervx, magic 1
[17/5/2022 0:43:49] /addskill Twizervx, magic 1
[17/5/2022 0:43:49] /addskill Twizervx, magic 1
[17/5/2022 0:43:50] /addskill Twizervx, magic 1
[17/5/2022 0:43:50] /addskill Twizervx, magic 1
[17/5/2022 0:43:51] /addskill Twizervx, magic 1
[17/5/2022 0:43:51] /addskill Twizervx, magic 1
[17/5/2022 0:43:52] /addskill Twizervx, magic 1
[17/5/2022 0:43:52] /addskill Twizervx, magic 1
[17/5/2022 0:43:52] /addskill Twizervx, magic 1
[17/5/2022 0:43:53] /addskill Twizervx, magic 1
[17/5/2022 0:43:53] /addskill Twizervx, magic 1
[17/5/2022 0:43:54] /addskill Twizervx, magic 1
[17/5/2022 0:43:54] /addskill Twizervx, magic 1
[17/5/2022 0:43:55] /addskill Twizervx, magic 1
[17/5/2022 0:43:55] /addskill Twizervx, magic 1
[17/5/2022 0:43:56] /addskill Twizervx, magic 1
[17/5/2022 0:43:56] /addskill Twizervx, magic 1
[17/5/2022 0:43:56] /addskill Twizervx, magic 1
[17/5/2022 0:43:57] /addskill Twizervx, magic 1
[17/5/2022 0:43:58] /addskill Twizervx, magic 1
[17/5/2022 0:43:58] /addskill Twizervx, magic 1
[17/5/2022 0:43:58] /addskill Twizervx, magic 1
[17/5/2022 0:43:59] /addskill Twizervx, magic 1
[17/5/2022 0:43:59] /addskill Twizervx, magic 1
[17/5/2022 0:44:0] /addskill Twizervx, magic 1
[17/5/2022 0:44:1] /addskill Twizervx, magic 1
[17/5/2022 0:44:1] /addskill Twizervx, magic 1
[17/5/2022 0:44:2] /addskill Twizervx, magic 1
[17/5/2022 0:44:2] /addskill Twizervx, magic 1
[17/5/2022 0:44:3] /addskill Twizervx, magic 1
[17/5/2022 0:44:3] /addskill Twizervx, magic 1
[17/5/2022 0:44:3] /addskill Twizervx, magic 1
[17/5/2022 0:44:4] /addskill Twizervx, magic 1
[17/5/2022 0:44:4] /addskill Twizervx, magic 1
[17/5/2022 0:44:5] /addskill Twizervx, magic 1
[17/5/2022 0:44:6] /addskill Twizervx, magic 1
[17/5/2022 0:45:3] /i 8890
[17/5/2022 0:45:57] /t
[17/5/2022 0:46:13] /i 12637
[17/5/2022 0:46:16] /i 12638
[17/5/2022 0:46:27] /i 12628
[17/5/2022 0:46:37] /i 12627
[17/5/2022 0:47:7] /i 12623
[17/5/2022 0:47:11] /i 12625
[17/5/2022 0:47:45] /t Twizervx
[17/5/2022 0:47:47] /t
[17/5/2022 0:49:31] /i 1988
[17/5/2022 0:49:37] /i 1988
[17/5/2022 0:49:54] /i 2160
[17/5/2022 0:49:55] /i 2160
[17/5/2022 0:49:56] /i 2160
[17/5/2022 0:50:0] /i 2160
[17/5/2022 0:56:17] /goto Kina Bloka Tudo
[17/5/2022 0:56:40] /c kina~
[17/5/2022 0:57:15] /t
[17/5/2022 2:37:0] /i 2160
[17/5/2022 2:37:1] /i 2160
[17/5/2022 2:37:3] /i 2160
[17/5/2022 2:37:4] /i 2160
[17/5/2022 2:37:4] /i 2160
[17/5/2022 4:44:37] /t
[17/5/2022 4:50:46] /goto staff~
[17/5/2022 4:51:25] /c staff~
[17/5/2022 4:52:21] /t
[17/5/2022 6:6:59] /goto caru~
[17/5/2022 6:7:2] /goto caru~
[17/5/2022 6:7:3] /goto caru~
[17/5/2022 6:7:6] /goto caru~
[17/5/2022 6:14:21] /t
[17/5/2022 6:17:23] /goto god~
[17/5/2022 6:17:27] /goto god~
[17/5/2022 6:17:57] /c
[17/5/2022 6:18:1] /c god
[17/5/2022 6:18:4] /c god~
[17/5/2022 6:18:7] /c god~
[17/5/2022 6:18:9] /c god~
[17/5/2022 6:18:9] /c god~
[17/5/2022 6:18:10] /c god~
[17/5/2022 6:18:11] /c god~
[17/5/2022 6:18:14] /c god~
[17/5/2022 6:27:57] /goto caru~
[17/5/2022 6:29:39] /i 12634
[17/5/2022 6:29:43] /i 12635
[17/5/2022 6:30:59] /goto rai~
[17/5/2022 6:33:18] /goto thor~
[17/5/2022 6:34:59] /t
[17/5/2022 17:7:47] /goto urtred~
[17/5/2022 17:8:43] /goto uhtred~
[17/5/2022 17:8:53] /ghost
[17/5/2022 17:11:28] /i 2160
[17/5/2022 17:11:52] /i 12651
[17/5/2022 17:33:41] /ghost
[17/5/2022 17:46:26] /goto ultred
[17/5/2022 17:46:31] /goto ultred ~
[17/5/2022 17:46:33] /goto ultred~
[17/5/2022 17:46:46] /goto uhtred~
[17/5/2022 17:47:15] /i magma legs
[17/5/2022 17:47:25] /i magma klegs
[17/5/2022 17:47:33] /i magma legs
[17/5/2022 17:50:8] /goto uhtred~
[17/5/2022 17:50:28] /i 238
[17/5/2022 17:50:43] /goto uhtred~
[17/5/2022 17:50:44] /goto uhtred~
[17/5/2022 17:51:43] /i 1988
[17/5/2022 17:51:44] /i 1988
[17/5/2022 17:52:1] /i 7590
[17/5/2022 17:52:3] /i 7590
[17/5/2022 17:52:4] /i 7590
[17/5/2022 17:52:6] /i 7590
[17/5/2022 17:52:7] /i 7590
[17/5/2022 17:52:8] /i 7590
[17/5/2022 17:52:9] /i 7590
[17/5/2022 17:52:10] /i 7590
[17/5/2022 17:52:10] /i 7590
[17/5/2022 17:52:11] /i 7590
[17/5/2022 17:52:11] /i 7590
[17/5/2022 17:52:12] /i 7590
[17/5/2022 17:52:12] /i 7590
[17/5/2022 17:52:13] /i 7590
[17/5/2022 17:52:13] /i 7590
[17/5/2022 17:52:14] /i 7590
[17/5/2022 17:52:14] /i 7590
[17/5/2022 17:52:15] /i 7590
[17/5/2022 17:52:15] /i 7590
[17/5/2022 17:52:16] /i 7590
[17/5/2022 17:52:16] /i 7590
[17/5/2022 17:52:17] /i 7590
[17/5/2022 17:52:17] /i 7590
[17/5/2022 17:52:18] /i 7590
[17/5/2022 17:52:18] /i 7590
[17/5/2022 17:52:19] /i 7590
[17/5/2022 17:52:19] /i 7590
[17/5/2022 17:52:22] /i 7590
[17/5/2022 17:52:25] /i 7590
[17/5/2022 17:52:25] /i 7590
[17/5/2022 17:52:26] /i 7590
[17/5/2022 17:52:26] /i 7590
[17/5/2022 17:52:27] /i 7590
[17/5/2022 17:52:27] /i 7590
[17/5/2022 17:52:27] /i 7590
[17/5/2022 17:52:28] /i 7590
[17/5/2022 17:52:28] /i 7590
[17/5/2022 17:52:29] /i 7590
[17/5/2022 17:52:29] /i 7590
[17/5/2022 17:52:30] /i 7590
[17/5/2022 17:52:30] /i 7590
[17/5/2022 17:52:31] /i 7590
[17/5/2022 17:52:31] /i 7590
[17/5/2022 17:52:32] /i 7590
[17/5/2022 17:52:32] /i 7590
[17/5/2022 17:52:32] /i 7590
[17/5/2022 17:52:33] /i 7590
[17/5/2022 20:3:55] /i 2268
[17/5/2022 20:3:56] /i 2268
[17/5/2022 20:3:57] /i 2268
[17/5/2022 20:3:57] /i 2268
[17/5/2022 20:3:58] /i 2268
[17/5/2022 20:3:58] /i 2268
[17/5/2022 20:4:3] /i 7590
[17/5/2022 20:4:4] /i 7590
[17/5/2022 20:4:4] /i 7590
[17/5/2022 20:4:5] /i 7590
[17/5/2022 20:4:7] /i 2268
[17/5/2022 20:4:7] /i 2268
[17/5/2022 20:4:8] /i 2268
[17/5/2022 20:4:8] /i 2268
[17/5/2022 20:4:20] /i 2268
[17/5/2022 20:4:20] /i 2268
[17/5/2022 20:4:21] /i 2268
[17/5/2022 20:4:22] /i 2268
[17/5/2022 20:4:23] /i 2268
[17/5/2022 20:4:23] /i 2268
[17/5/2022 20:4:24] /i 2268
[17/5/2022 20:4:24] /i 2268
[17/5/2022 20:4:25] /i 2268
[17/5/2022 20:4:25] /i 2268
[17/5/2022 20:4:56] /t
[17/5/2022 20:9:4] /ghost
[17/5/2022 20:9:5] /ghost
[17/5/2022 20:9:31] /ghost
[17/5/2022 20:9:31] /ghost
[17/5/2022 20:9:37] /ghost
[17/5/2022 20:9:37] /ghost
[17/5/2022 20:9:46] /ghost
[17/5/2022 20:9:46] /ghost
[17/5/2022 20:9:57] /ghost
[17/5/2022 20:9:58] /ghost
[18/5/2022 5:23:59] /goto hele~
[18/5/2022 5:24:4] /goto hela~
[18/5/2022 5:25:58] /goto hela~
[18/5/2022 5:25:59] /goto hela~
[18/5/2022 5:26:1] /goto hela~
[18/5/2022 5:26:13] /goto hela~
[18/5/2022 5:26:45] /goto hela~
[18/5/2022 5:26:58] /r
[18/5/2022 5:27:0] /r
[18/5/2022 5:27:15] /r
[18/5/2022 5:27:21] /r
[18/5/2022 5:27:34] /t
[18/5/2022 5:29:10] /goto hela~
[18/5/2022 5:29:14] /goto hela~
[18/5/2022 5:29:16] /goto hela~
[18/5/2022 5:29:18] /goto hela~
[18/5/2022 5:29:20] /goto hela~
[18/5/2022 5:29:22] /goto hela~
[18/5/2022 5:29:23] /goto hela~
[18/5/2022 5:29:25] /goto hela~
[18/5/2022 5:29:26] /goto hela~
[18/5/2022 5:30:31] /goto thor~
[18/5/2022 5:30:48] /goto hela~
[18/5/2022 5:31:52] /goto hela~
[18/5/2022 5:34:13] /goto hela~
[18/5/2022 5:34:15] /goto hela~
[18/5/2022 5:34:17] /goto hela~
[18/5/2022 5:34:18] /goto hela~
[18/5/2022 5:34:19] /goto hela~
[18/5/2022 5:34:19] /goto hela~
[18/5/2022 5:34:20] /goto hela~
[18/5/2022 5:34:27] /goto hela~
[18/5/2022 21:58:28] /goto god~
[18/5/2022 21:58:31] /goto god~
[18/5/2022 21:58:52] /goto pelado~
[18/5/2022 21:59:26] /m souleater
[18/5/2022 22:4:54] /goto pela~
[18/5/2022 22:4:58] /goto pelado ms
[18/5/2022 22:5:8] /goto pelado ms
[18/5/2022 22:5:9] /goto pelado ms
[18/5/2022 22:5:14] /goto peladoms
[18/5/2022 22:5:30] /m moulder
[18/5/2022 22:5:31] /m moulder
[18/5/2022 22:5:33] /m moulder
[18/5/2022 22:5:34] /m moulder
[18/5/2022 22:5:36] /m moulder
[18/5/2022 22:5:42] /m moulder
[18/5/2022 22:5:46] /m molder
[18/5/2022 22:5:47] /m molder
[18/5/2022 22:7:0] /m molder
[18/5/2022 22:9:6] /m phantasm
[18/5/2022 22:9:28] /m Rift Phantom
[18/5/2022 22:9:29] /m Rift Phantom
[18/5/2022 22:12:20] /m ghost
[19/5/2022 2:34:20] /t
[20/5/2022 22:4:53] /up
[20/5/2022 22:5:56] /clean
[20/5/2022 22:10:45] /t
[20/5/2022 22:13:3] /a '3
[20/5/2022 22:13:7] /a 20
[20/5/2022 22:13:8] /a 20
[20/5/2022 22:13:10] /a 20
[20/5/2022 22:13:13] /a 20
[20/5/2022 22:13:16] /a 20
[20/5/2022 22:13:20] /a 20
[20/5/2022 22:13:23] /a 20
[20/5/2022 22:13:25] /a 20
[20/5/2022 22:13:28] /a 20
[20/5/2022 22:13:29] /a 20
[20/5/2022 22:13:31] /a 20
[20/5/2022 22:13:34] /a 20
[20/5/2022 22:14:33] /a 20
[20/5/2022 22:14:34] /a 20
[20/5/2022 22:14:56] /a 15
[20/5/2022 22:15:12] /up
[20/5/2022 22:15:22] /a
[20/5/2022 22:15:25] /a
[20/5/2022 22:15:26] /a
[20/5/2022 22:15:28] /a
[20/5/2022 22:15:29] /a
[20/5/2022 22:18:15] /attr ActionID 2135
[20/5/2022 22:18:46] /goto god~
[20/5/2022 22:18:48] /goto god~
[20/5/2022 22:19:19] /goto god~
[20/5/2022 22:25:2] /goto god~
[20/5/2022 22:25:50] /a 15
[20/5/2022 22:25:58] /c god
[20/5/2022 22:26:1] /c god~
[20/5/2022 22:26:19] /up
[20/5/2022 22:26:54] /goto god~
[20/5/2022 22:27:6] /up
[20/5/2022 22:27:18] /c god~
[20/5/2022 22:27:25] /c mapper
[20/5/2022 22:27:58] /c god~
[20/5/2022 22:36:33] /c god
[20/5/2022 22:36:35] /c god~
[20/5/2022 22:37:3] /t
[20/5/2022 22:40:24] /r
[20/5/2022 22:40:28] /r
[20/5/2022 22:40:37] /r 100
[20/5/2022 22:40:43] /r 100
[20/5/2022 22:40:49] /r 100
[20/5/2022 22:40:52] /c loki
[20/5/2022 22:40:54] /c loki~
[20/5/2022 22:41:8] /i 965
[20/5/2022 22:41:10] /c loki~
[20/5/2022 22:41:21] /r
[20/5/2022 22:41:26] /r
[20/5/2022 22:41:29] /r
[20/5/2022 22:41:36] /r
[20/5/2022 22:42:54] /t loki~
[20/5/2022 22:42:59] /r 100
[20/5/2022 22:43:0] /r 100
[20/5/2022 22:43:0] /r 100
[20/5/2022 22:43:0] /r 100
[20/5/2022 22:43:1] /r 100
[20/5/2022 22:43:1] /r 100
[20/5/2022 22:43:2] /r 100
[20/5/2022 22:43:2] /r 100
[20/5/2022 22:43:2] /r 100
[20/5/2022 22:43:3] /r 100
[20/5/2022 22:43:3] /r 100
[20/5/2022 22:43:4] /r 100
[20/5/2022 22:43:4] /r 100
[20/5/2022 22:43:4] /r 100
[20/5/2022 22:43:5] /r 100
[20/5/2022 22:43:5] /r 100
[20/5/2022 22:43:6] /r 100
[20/5/2022 22:43:6] /r 100
[20/5/2022 22:43:6] /r 100
[20/5/2022 22:43:7] /r 100
[20/5/2022 22:43:7] /r 100
[20/5/2022 22:43:8] /r 100
[20/5/2022 22:43:8] /r 100
[20/5/2022 22:43:8] /r 100
[20/5/2022 22:43:9] /r 100
[20/5/2022 22:43:9] /r 100
[20/5/2022 22:43:9] /r 100
[20/5/2022 22:43:10] /r 100
[20/5/2022 22:43:10] /r 100
[20/5/2022 22:43:19] /r 100
[20/5/2022 22:43:19] /r 100
[20/5/2022 22:43:19] /r 100
[20/5/2022 22:43:19] /r 100
[20/5/2022 22:43:19] /r 100
[20/5/2022 22:43:19] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:20] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:21] /r 100
[20/5/2022 22:43:22] /r 100
[20/5/2022 22:43:22] /r 100
[20/5/2022 22:43:22] /r 100
[20/5/2022 22:43:22] /r 100
[20/5/2022 22:43:22] /r 100
[20/5/2022 22:43:22] /r 100
